,repeat_1,repeat_2,repeat_3,repeat_4,repeat_5,repeat_6
B,0.0418641184873397,0.0338406522253142,0.0551324856274279,0.0297173147298037,0.0423328929484101,9.2498369108678e-11
C,0.0582065634908507,0.0498617759354061,0.0764820385468192,0,0.0720336626655791,0.0142604378367235
D,0.00938701237898132,0.0167694076156696,0.0537249926629726,0,0.0868793061565712,8.03855717674063e-06
unknown,0.890542305642828,0.89952816422361,0.81466048316278,0.970282685270196,0.79875413822944,0.985731523513601
